Kind,year,Total
"Retail and food services sales, total",2020,6215073
Retail sales and food services excl motor vehicle and parts,2020,4970757
Retail sales and food services excl gasoline stations,2020,5784957
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020,4540641
"Retail sales, total",2020,5593590
"Retail sales, total (excl. motor vehicle and parts dealers)",2020,4349274
GAFO(1),2020,1245270
Motor vehicle and parts dealers,2020,1244316
Automobile and other motor vehicle dealers,2020,1146022
Automobile dealers,2020,1055912
New car dealers,2020,931212
Used car dealers,2020,124700
"Automotive parts, acc., and tire stores",2020,98294
"Furniture, home furn, electronics, and appliance stores",2020,192243
Furniture and home furnishings stores,2020,115563
Furniture stores,2020,62943
Home furnishings stores,2020,(S)
Floor covering stores,2020,(S)
All other home furnishings stores,2020,(S)
Electronics and appliance stores,2020,76680
Household appliance stores,2020,18330
Electronics stores,2020,58350
Building mat. and garden equip. and supplies dealers,2020,425577
Building mat. and supplies dealers,2020,371027
Paint and wallpaper stores,2020,13089
Hardware stores,2020,32859
Food and beverage stores,2020,865095
Grocery stores,2020,773741
Supermarkets and other grocery (except convenience) stores,2020,741574
"Beer, wine, and liquor stores",2020,66852
Health and personal care stores,2020,348713
Pharmacies and drug stores,2020,300855
Gasoline stations,2020,430116
Clothing and clothing access. stores,2020,204196
Clothing stores,2020,138759
Men's clothing stores,2020,(S)
Women's clothing stores,2020,26164
Family clothing stores,2020,81464
Other clothing stores,2020,12771
Shoe stores,2020,28618
Jewelry stores,2020,33296
"Sporting goods, hobby, musical instrument, and book stores",2020,86380
Sporting goods stores,2020,53911
"Hobby, toy, and game stores",2020,17338
Book stores,2020,6499
General merchandise stores,2020,739679
Department stores,2020,113497
Department stores(excl. discount department stores),2020,21386
Discount dept. stores,2020,92111
Other general merchandise stores,2020,626182
Warehouse clubs and superstores,2020,535772
All other gen. merchandise stores,2020,90410
Miscellaneous store retailers,2020,132716
"Office supplies, stationery, and gift stores",2020,22772
Office supplies and stationery stores,2020,10117
"Gift, novelty, and souvenir stores",2020,12655
Used merchandise stores,2020,15385
Nonstore retailers,2020,924559
Electronic shopping and mail-order houses,2020,836722
Fuel dealers,2020,29874
Food services and drinking places,2020,621483
Drinking places,2020,(S)
Restaurants and other eating places,2020,568965
Full service restaurants,2020,(S)
Limited service eating places,2020,328431
"Retail and food services sales, total",2019,6184582
Retail sales and food services excl motor vehicle and parts,2019,4944815
Retail sales and food services excl gasoline stations,2019,5672205
Retail sales and food services excl motor vehicle and parts and gasoline stations,2019,4432438
"Retail sales, total",2019,5411037
"Retail sales, total (excl. motor vehicle and parts dealers)",2019,4171270
GAFO(1),2019,1305943
Motor vehicle and parts dealers,2019,1239767
Automobile and other motor vehicle dealers,2019,1142827
Automobile dealers,2019,1066684
New car dealers,2019,944324
Used car dealers,2019,122360
"Automotive parts, acc., and tire stores",2019,96940
"Furniture, home furn, electronics, and appliance stores",2019,211053
Furniture and home furnishings stores,2019,120517
Furniture stores,2019,64208
Home furnishings stores,2019,56309
Floor covering stores,2019,(S)
All other home furnishings stores,2019,30338
Electronics and appliance stores,2019,90536
Household appliance stores,2019,16567
Electronics stores,2019,73969
Building mat. and garden equip. and supplies dealers,2019,372432
Building mat. and supplies dealers,2019,326473
Paint and wallpaper stores,2019,12734
Hardware stores,2019,28837
Food and beverage stores,2019,773647
Grocery stores,2019,693015
Supermarkets and other grocery (except convenience) stores,2019,660216
"Beer, wine, and liquor stores",2019,56805
Health and personal care stores,2019,342569
Pharmacies and drug stores,2019,283615
Gasoline stations,2019,512377
Clothing and clothing access. stores,2019,268735
Clothing stores,2019,195850
Men's clothing stores,2019,9110
Women's clothing stores,2019,38951
Family clothing stores,2019,112191
Other clothing stores,2019,17378
Shoe stores,2019,36627
Jewelry stores,2019,32640
"Sporting goods, hobby, musical instrument, and book stores",2019,80757
Sporting goods stores,2019,45621
"Hobby, toy, and game stores",2019,16524
Book stores,2019,9126
General merchandise stores,2019,716476
Department stores,2019,134659
Department stores(excl. discount department stores),2019,39548
Discount dept. stores,2019,95111
Other general merchandise stores,2019,581817
Warehouse clubs and superstores,2019,501337
All other gen. merchandise stores,2019,80480
Miscellaneous store retailers,2019,131560
"Office supplies, stationery, and gift stores",2019,28922
Office supplies and stationery stores,2019,10719
"Gift, novelty, and souvenir stores",2019,18203
Used merchandise stores,2019,18300
Nonstore retailers,2019,761664
Electronic shopping and mail-order houses,2019,667867
Fuel dealers,2019,34970
Food services and drinking places,2019,773545
Drinking places,2019,(S)
Restaurants and other eating places,2019,675798
Full service restaurants,2019,334313
Limited service eating places,2019,341485
"Retail and food services sales, total",2018,5985075
Retail sales and food services excl motor vehicle and parts,2018,4780272
Retail sales and food services excl gasoline stations,2018,5463622
Retail sales and food services excl motor vehicle and parts and gasoline stations,2018,4258819
"Retail sales, total",2018,5253037
"Retail sales, total (excl. motor vehicle and parts dealers)",2018,4048234
GAFO(1),2018,1298524
Motor vehicle and parts dealers,2018,1204803
Automobile and other motor vehicle dealers,2018,1109805
Automobile dealers,2018,1035471
New car dealers,2018,918128
Used car dealers,2018,117343
"Automotive parts, acc., and tire stores",2018,94998
"Furniture, home furn, electronics, and appliance stores",2018,213096
Furniture and home furnishings stores,2018,119094
Furniture stores,2018,63279
Home furnishings stores,2018,55815
Floor covering stores,2018,(S)
All other home furnishings stores,2018,30049
Electronics and appliance stores,2018,94002
Household appliance stores,2018,16790
Electronics stores,2018,77212
Building mat. and garden equip. and supplies dealers,2018,366225
Building mat. and supplies dealers,2018,321264
Paint and wallpaper stores,2018,12245
Hardware stores,2018,27467
Food and beverage stores,2018,750000
Grocery stores,2018,671330
Supermarkets and other grocery (except convenience) stores,2018,640235
"Beer, wine, and liquor stores",2018,55088
Health and personal care stores,2018,337765
Pharmacies and drug stores,2018,280082
Gasoline stations,2018,521453
Clothing and clothing access. stores,2018,266881
Clothing stores,2018,194353
Men's clothing stores,2018,9222
Women's clothing stores,2018,39847
Family clothing stores,2018,109200
Other clothing stores,2018,17902
Shoe stores,2018,37253
Jewelry stores,2018,32083
"Sporting goods, hobby, musical instrument, and book stores",2018,81129
Sporting goods stores,2018,44755
"Hobby, toy, and game stores",2018,16889
Book stores,2018,9758
General merchandise stores,2018,707094
Department stores,2018,142083
Department stores(excl. discount department stores),2018,44571
Discount dept. stores,2018,97512
Other general merchandise stores,2018,565011
Warehouse clubs and superstores,2018,486683
All other gen. merchandise stores,2018,78328
Miscellaneous store retailers,2018,128408
"Office supplies, stationery, and gift stores",2018,30324
Office supplies and stationery stores,2018,11363
"Gift, novelty, and souvenir stores",2018,18961
Used merchandise stores,2018,17175
Nonstore retailers,2018,676183
Electronic shopping and mail-order houses,2018,584267
Fuel dealers,2018,36530
Food services and drinking places,2018,732038
Drinking places,2018,(S)
Restaurants and other eating places,2018,639149
Full service restaurants,2018,317874
Limited service eating places,2018,321275
"Retail and food services sales, total",2017,5732863
Retail sales and food services excl motor vehicle and parts,2017,4547167
Retail sales and food services excl gasoline stations,2017,5256711
Retail sales and food services excl motor vehicle and parts and gasoline stations,2017,4071015
"Retail sales, total",2017,5040214
"Retail sales, total (excl. motor vehicle and parts dealers)",2017,3854518
GAFO(1),2017,1274977
Motor vehicle and parts dealers,2017,1185696
Automobile and other motor vehicle dealers,2017,1092253
Automobile dealers,2017,1020587
New car dealers,2017,906487
Used car dealers,2017,114100
"Automotive parts, acc., and tire stores",2017,93443
"Furniture, home furn, electronics, and appliance stores",2017,207733
Furniture and home furnishings stores,2017,115309
Furniture stores,2017,61288
Home furnishings stores,2017,54021
Floor covering stores,2017,(S)
All other home furnishings stores,2017,29876
Electronics and appliance stores,2017,92424
Household appliance stores,2017,16806
Electronics stores,2017,75618
Building mat. and garden equip. and supplies dealers,2017,349365
Building mat. and supplies dealers,2017,305471
Paint and wallpaper stores,2017,11536
Hardware stores,2017,25891
Food and beverage stores,2017,728843
Grocery stores,2017,653178
Supermarkets and other grocery (except convenience) stores,2017,624972
"Beer, wine, and liquor stores",2017,52622
Health and personal care stores,2017,323866
Pharmacies and drug stores,2017,269054
Gasoline stations,2017,476152
Clothing and clothing access. stores,2017,261396
Clothing stores,2017,191108
Men's clothing stores,2017,9296
Women's clothing stores,2017,39212
Family clothing stores,2017,105212
Other clothing stores,2017,17822
Shoe stores,2017,36332
Jewelry stores,2017,30988
"Sporting goods, hobby, musical instrument, and book stores",2017,83896
Sporting goods stores,2017,45965
"Hobby, toy, and game stores",2017,18147
Book stores,2017,10329
General merchandise stores,2017,691891
Department stores,2017,146654
Department stores(excl. discount department stores),2017,48435
Discount dept. stores,2017,98219
Other general merchandise stores,2017,545237
Warehouse clubs and superstores,2017,470180
All other gen. merchandise stores,2017,75057
Miscellaneous store retailers,2017,123182
"Office supplies, stationery, and gift stores",2017,30061
Office supplies and stationery stores,2017,12261
"Gift, novelty, and souvenir stores",2017,17800
Used merchandise stores,2017,16739
Nonstore retailers,2017,608194
Electronic shopping and mail-order houses,2017,524639
Fuel dealers,2017,31433
Food services and drinking places,2017,692649
Drinking places,2017,25536
Restaurants and other eating places,2017,604128
Full service restaurants,2017,301767
Limited service eating places,2017,302361
"Retail and food services sales, total",2016,5506136
Retail sales and food services excl motor vehicle and parts,2016,4354219
Retail sales and food services excl gasoline stations,2016,5069993
Retail sales and food services excl motor vehicle and parts and gasoline stations,2016,3918076
"Retail sales, total",2016,4848213
"Retail sales, total (excl. motor vehicle and parts dealers)",2016,3696296
GAFO(1),2016,1267631
Motor vehicle and parts dealers,2016,1151917
Automobile and other motor vehicle dealers,2016,1059311
Automobile dealers,2016,991956
New car dealers,2016,883565
Used car dealers,2016,108391
"Automotive parts, acc., and tire stores",2016,92606
"Furniture, home furn, electronics, and appliance stores",2016,206233
Furniture and home furnishings stores,2016,112260
Furniture stores,2016,60294
Home furnishings stores,2016,51966
Floor covering stores,2016,20908
All other home furnishings stores,2016,29507
Electronics and appliance stores,2016,93973
Household appliance stores,2016,17538
Electronics stores,2016,76435
Building mat. and garden equip. and supplies dealers,2016,337787
Building mat. and supplies dealers,2016,294986
Paint and wallpaper stores,2016,10993
Hardware stores,2016,24439
Food and beverage stores,2016,702162
Grocery stores,2016,627871
Supermarkets and other grocery (except convenience) stores,2016,600946
"Beer, wine, and liquor stores",2016,51252
Health and personal care stores,2016,319171
Pharmacies and drug stores,2016,265513
Gasoline stations,2016,436143
Clothing and clothing access. stores,2016,261207
Clothing stores,2016,190328
Men's clothing stores,2016,9281
Women's clothing stores,2016,39751
Family clothing stores,2016,103229
Other clothing stores,2016,17879
Shoe stores,2016,36903
Jewelry stores,2016,30957
"Sporting goods, hobby, musical instrument, and book stores",2016,86366
Sporting goods stores,2016,48081
"Hobby, toy, and game stores",2016,18354
Book stores,2016,10716
General merchandise stores,2016,682713
Department stores,2016,154200
Department stores(excl. discount department stores),2016,52911
Discount dept. stores,2016,101289
Other general merchandise stores,2016,528513
Warehouse clubs and superstores,2016,457192
All other gen. merchandise stores,2016,71321
Miscellaneous store retailers,2016,120669
"Office supplies, stationery, and gift stores",2016,31112
Office supplies and stationery stores,2016,13283
"Gift, novelty, and souvenir stores",2016,17829
Used merchandise stores,2016,16107
Nonstore retailers,2016,543845
Electronic shopping and mail-order houses,2016,467028
Fuel dealers,2016,27510
Food services and drinking places,2016,657923
Drinking places,2016,24048
Restaurants and other eating places,2016,573494
Full service restaurants,2016,287935
Limited service eating places,2016,285559
"Retail and food services sales, total",2015,5352218
Retail sales and food services excl motor vehicle and parts,2015,4248280
Retail sales and food services excl gasoline stations,2015,4896471
Retail sales and food services excl motor vehicle and parts and gasoline stations,2015,3792533
"Retail sales, total",2015,4728119
"Retail sales, total (excl. motor vehicle and parts dealers)",2015,3624181
GAFO(1),2015,1262662
Motor vehicle and parts dealers,2015,1103938
Automobile and other motor vehicle dealers,2015,1013017
Automobile dealers,2015,949511
New car dealers,2015,848418
Used car dealers,2015,101093
"Automotive parts, acc., and tire stores",2015,90921
"Furniture, home furn, electronics, and appliance stores",2015,208073
Furniture and home furnishings stores,2015,107816
Furniture stores,2015,58291
Home furnishings stores,2015,49525
Floor covering stores,2015,19487
All other home furnishings stores,2015,28613
Electronics and appliance stores,2015,100257
Household appliance stores,2015,17374
Electronics stores,2015,82883
Building mat. and garden equip. and supplies dealers,2015,323930
Building mat. and supplies dealers,2015,281171
Paint and wallpaper stores,2015,10580
Hardware stores,2015,23699
Food and beverage stores,2015,687473
Grocery stores,2015,616086
Supermarkets and other grocery (except convenience) stores,2015,590715
"Beer, wine, and liquor stores",2015,49156
Health and personal care stores,2015,309489
Pharmacies and drug stores,2015,258452
Gasoline stations,2015,455747
Clothing and clothing access. stores,2015,256926
Clothing stores,2015,187381
Men's clothing stores,2015,9399
Women's clothing stores,2015,40239
Family clothing stores,2015,100908
Other clothing stores,2015,16997
Shoe stores,2015,35409
Jewelry stores,2015,31361
"Sporting goods, hobby, musical instrument, and book stores",2015,85554
Sporting goods stores,2015,46902
"Hobby, toy, and game stores",2015,18050
Book stores,2015,10974
General merchandise stores,2015,680138
Department stores,2015,165074
Department stores(excl. discount department stores),2015,57299
Discount dept. stores,2015,107775
Other general merchandise stores,2015,515064
Warehouse clubs and superstores,2015,447062
All other gen. merchandise stores,2015,68002
Miscellaneous store retailers,2015,118490
"Office supplies, stationery, and gift stores",2015,31971
Office supplies and stationery stores,2015,14484
"Gift, novelty, and souvenir stores",2015,17487
Used merchandise stores,2015,16099
Nonstore retailers,2015,498361
Electronic shopping and mail-order houses,2015,419146
Fuel dealers,2015,32789
Food services and drinking places,2015,624099
Drinking places,2015,22014
Restaurants and other eating places,2015,545303
Full service restaurants,2015,276598
Limited service eating places,2015,268705
"Retail and food services sales, total",2014,5218529
Retail sales and food services excl motor vehicle and parts,2014,4191532
Retail sales and food services excl gasoline stations,2014,4671465
Retail sales and food services excl motor vehicle and parts and gasoline stations,2014,3644468
"Retail sales, total",2014,4641927
"Retail sales, total (excl. motor vehicle and parts dealers)",2014,3614930
GAFO(1),2014,1241461
Motor vehicle and parts dealers,2014,1026997
Automobile and other motor vehicle dealers,2014,940173
Automobile dealers,2014,881160
New car dealers,2014,789038
Used car dealers,2014,92122
"Automotive parts, acc., and tire stores",2014,86824
"Furniture, home furn, electronics, and appliance stores",2014,203407
Furniture and home furnishings stores,2014,100510
Furniture stores,2014,53898
Home furnishings stores,2014,46612
Floor covering stores,2014,18001
All other home furnishings stores,2014,27245
Electronics and appliance stores,2014,102897
Household appliance stores,2014,17254
Electronics stores,2014,85643
Building mat. and garden equip. and supplies dealers,2014,313497
Building mat. and supplies dealers,2014,270080
Paint and wallpaper stores,2014,10217
Hardware stores,2014,22989
Food and beverage stores,2014,670536
Grocery stores,2014,601498
Supermarkets and other grocery (except convenience) stores,2014,575675
"Beer, wine, and liquor stores",2014,47395
Health and personal care stores,2014,295584
Pharmacies and drug stores,2014,247339
Gasoline stations,2014,547064
Clothing and clothing access. stores,2014,251102
Clothing stores,2014,183245
Men's clothing stores,2014,9251
Women's clothing stores,2014,41019
Family clothing stores,2014,97906
Other clothing stores,2014,15605
Shoe stores,2014,34025
Jewelry stores,2014,31147
"Sporting goods, hobby, musical instrument, and book stores",2014,83651
Sporting goods stores,2014,45095
"Hobby, toy, and game stores",2014,17436
Book stores,2014,11308
General merchandise stores,2014,670614
Department stores,2014,168778
Department stores(excl. discount department stores),2014,59419
Discount dept. stores,2014,109359
Other general merchandise stores,2014,501836
Warehouse clubs and superstores,2014,436749
All other gen. merchandise stores,2014,65087
Miscellaneous store retailers,2014,115293
"Office supplies, stationery, and gift stores",2014,32687
Office supplies and stationery stores,2014,15661
"Gift, novelty, and souvenir stores",2014,17026
Used merchandise stores,2014,15624
Nonstore retailers,2014,464182
Electronic shopping and mail-order houses,2014,377008
Fuel dealers,2014,41627
Food services and drinking places,2014,576602
Drinking places,2014,21194
Restaurants and other eating places,2014,502500
Full service restaurants,2014,255437
Limited service eating places,2014,247063
"Retail and food services sales, total",2013,5003332
Retail sales and food services excl motor vehicle and parts,2013,4041159
Retail sales and food services excl gasoline stations,2013,4449569
Retail sales and food services excl motor vehicle and parts and gasoline stations,2013,3487396
"Retail sales, total",2013,4459848
"Retail sales, total (excl. motor vehicle and parts dealers)",2013,3497675
GAFO(1),2013,1213772
Motor vehicle and parts dealers,2013,962173
Automobile and other motor vehicle dealers,2013,876637
Automobile dealers,2013,821868
New car dealers,2013,737153
Used car dealers,2013,84715
"Automotive parts, acc., and tire stores",2013,85536
"Furniture, home furn, electronics, and appliance stores",2013,199270
Furniture and home furnishings stores,2013,95734
Furniture stores,2013,51189
Home furnishings stores,2013,44545
Floor covering stores,2013,16883
All other home furnishings stores,2013,26430
Electronics and appliance stores,2013,103536
Household appliance stores,2013,17219
Electronics stores,2013,86317
Building mat. and garden equip. and supplies dealers,2013,299561
Building mat. and supplies dealers,2013,257692
Paint and wallpaper stores,2013,9411
Hardware stores,2013,21222
Food and beverage stores,2013,641546
Grocery stores,2013,575476
Supermarkets and other grocery (except convenience) stores,2013,549986
"Beer, wine, and liquor stores",2013,45647
Health and personal care stores,2013,280043
Pharmacies and drug stores,2013,233978
Gasoline stations,2013,553763
Clothing and clothing access. stores,2013,245045
Clothing stores,2013,179047
Men's clothing stores,2013,8850
Women's clothing stores,2013,41508
Family clothing stores,2013,95263
Other clothing stores,2013,14556
Shoe stores,2013,32789
Jewelry stores,2013,30419
"Sporting goods, hobby, musical instrument, and book stores",2013,82786
Sporting goods stores,2013,44577
"Hobby, toy, and game stores",2013,16920
Book stores,2013,11480
General merchandise stores,2013,653575
Department stores,2013,170560
Department stores(excl. discount department stores),2013,60029
Discount dept. stores,2013,110531
Other general merchandise stores,2013,483015
Warehouse clubs and superstores,2013,421032
All other gen. merchandise stores,2013,61983
Miscellaneous store retailers,2013,112102
"Office supplies, stationery, and gift stores",2013,33096
Office supplies and stationery stores,2013,16548
"Gift, novelty, and souvenir stores",2013,16548
Used merchandise stores,2013,15150
Nonstore retailers,2013,429984
Electronic shopping and mail-order houses,2013,346218
Fuel dealers,2013,38637
Food services and drinking places,2013,543484
Drinking places,2013,21231
Restaurants and other eating places,2013,471674
Full service restaurants,2013,236866
Limited service eating places,2013,234808
"Retail and food services sales, total",2012,4826390
Retail sales and food services excl motor vehicle and parts,2012,3939896
Retail sales and food services excl gasoline stations,2012,4270971
Retail sales and food services excl motor vehicle and parts and gasoline stations,2012,3384477
"Retail sales, total",2012,4302229
"Retail sales, total (excl. motor vehicle and parts dealers)",2012,3415735
GAFO(1),2012,1191843
Motor vehicle and parts dealers,2012,886494
Automobile and other motor vehicle dealers,2012,802359
Automobile dealers,2012,752778
New car dealers,2012,672550
Used car dealers,2012,80228
"Automotive parts, acc., and tire stores",2012,84135
"Furniture, home furn, electronics, and appliance stores",2012,195424
Furniture and home furnishings stores,2012,91542
Furniture stores,2012,49752
Home furnishings stores,2012,41790
Floor covering stores,2012,15483
All other home furnishings stores,2012,25195
Electronics and appliance stores,2012,103882
Household appliance stores,2012,16415
Electronics stores,2012,87467
Building mat. and garden equip. and supplies dealers,2012,281533
Building mat. and supplies dealers,2012,242176
Paint and wallpaper stores,2012,9134
Hardware stores,2012,20747
Food and beverage stores,2012,628205
Grocery stores,2012,563645
Supermarkets and other grocery (except convenience) stores,2012,539180
"Beer, wine, and liquor stores",2012,44365
Health and personal care stores,2012,274000
Pharmacies and drug stores,2012,229951
Gasoline stations,2012,555419
Clothing and clothing access. stores,2012,239493
Clothing stores,2012,176131
Men's clothing stores,2012,8272
Women's clothing stores,2012,41794
Family clothing stores,2012,92631
Other clothing stores,2012,13941
Shoe stores,2012,31039
Jewelry stores,2012,29862
"Sporting goods, hobby, musical instrument, and book stores",2012,81159
Sporting goods stores,2012,42142
"Hobby, toy, and game stores",2012,16620
Book stores,2012,12269
General merchandise stores,2012,642313
Department stores,2012,177313
Department stores(excl. discount department stores),2012,62961
Discount dept. stores,2012,114352
Other general merchandise stores,2012,465000
Warehouse clubs and superstores,2012,406309
All other gen. merchandise stores,2012,58691
Miscellaneous store retailers,2012,110018
"Office supplies, stationery, and gift stores",2012,33454
Office supplies and stationery stores,2012,17401
"Gift, novelty, and souvenir stores",2012,16053
Used merchandise stores,2012,14728
Nonstore retailers,2012,408171
Electronic shopping and mail-order houses,2012,328655
Fuel dealers,2012,35935
Food services and drinking places,2012,524161
Drinking places,2012,21421
Restaurants and other eating places,2012,453168
Full service restaurants,2012,227210
Limited service eating places,2012,225958
"Retail and food services sales, total",2011,4598302
Retail sales and food services excl motor vehicle and parts,2011,3785364
Retail sales and food services excl gasoline stations,2011,4064845
Retail sales and food services excl motor vehicle and parts and gasoline stations,2011,3251907
"Retail sales, total",2011,4102952
"Retail sales, total (excl. motor vehicle and parts dealers)",2011,3290014
GAFO(1),2011,1155666
Motor vehicle and parts dealers,2011,812938
Automobile and other motor vehicle dealers,2011,729974
Automobile dealers,2011,684505
New car dealers,2011,608788
Used car dealers,2011,75717
"Automotive parts, acc., and tire stores",2011,82964
"Furniture, home furn, electronics, and appliance stores",2011,189564
Furniture and home furnishings stores,2011,87586
Furniture stores,2011,47658
Home furnishings stores,2011,39928
Floor covering stores,2011,14758
All other home furnishings stores,2011,24080
Electronics and appliance stores,2011,101978
Household appliance stores,2011,15807
Electronics stores,2011,86171
Building mat. and garden equip. and supplies dealers,2011,269480
Building mat. and supplies dealers,2011,232649
Paint and wallpaper stores,2011,8423
Hardware stores,2011,20041
Food and beverage stores,2011,609137
Grocery stores,2011,547476
Supermarkets and other grocery (except convenience) stores,2011,523371
"Beer, wine, and liquor stores",2011,42392
Health and personal care stores,2011,271612
Pharmacies and drug stores,2011,231249
Gasoline stations,2011,533457
Clothing and clothing access. stores,2011,228606
Clothing stores,2011,168095
Men's clothing stores,2011,7860
Women's clothing stores,2011,40048
Family clothing stores,2011,88272
Other clothing stores,2011,12671
Shoe stores,2011,29260
Jewelry stores,2011,29050
"Sporting goods, hobby, musical instrument, and book stores",2011,78647
Sporting goods stores,2011,38995
"Hobby, toy, and game stores",2011,16119
Book stores,2011,13716
General merchandise stores,2011,624766
Department stores,2011,183361
Department stores(excl. discount department stores),2011,65738
Discount dept. stores,2011,117623
Other general merchandise stores,2011,441405
Warehouse clubs and superstores,2011,386343
All other gen. merchandise stores,2011,55062
Miscellaneous store retailers,2011,108401
"Office supplies, stationery, and gift stores",2011,34083
Office supplies and stationery stores,2011,18117
"Gift, novelty, and souvenir stores",2011,15966
Used merchandise stores,2011,13248
Nonstore retailers,2011,376344
Electronic shopping and mail-order houses,2011,294697
Fuel dealers,2011,39469
Food services and drinking places,2011,495350
Drinking places,2011,20568
Restaurants and other eating places,2011,428128
Full service restaurants,2011,213880
Limited service eating places,2011,214248
"Retail and food services sales, total",2010,4284968
Retail sales and food services excl motor vehicle and parts,2010,3542055
Retail sales and food services excl gasoline stations,2010,3836619
Retail sales and food services excl motor vehicle and parts and gasoline stations,2010,3093706
"Retail sales, total",2010,3818048
"Retail sales, total (excl. motor vehicle and parts dealers)",2010,3075135
GAFO(1),2010,1114374
Motor vehicle and parts dealers,2010,742913
Automobile and other motor vehicle dealers,2010,664974
Automobile dealers,2010,621180
New car dealers,2010,549473
Used car dealers,2010,71707
"Automotive parts, acc., and tire stores",2010,77939
"Furniture, home furn, electronics, and appliance stores",2010,184794
Furniture and home furnishings stores,2010,85205
Furniture stores,2010,46664
Home furnishings stores,2010,38541
Floor covering stores,2010,14573
All other home furnishings stores,2010,22868
Electronics and appliance stores,2010,99589
Household appliance stores,2010,15456
Electronics stores,2010,84133
Building mat. and garden equip. and supplies dealers,2010,260566
Building mat. and supplies dealers,2010,225712
Paint and wallpaper stores,2010,7972
Hardware stores,2010,18706
Food and beverage stores,2010,580530
Grocery stores,2010,520750
Supermarkets and other grocery (except convenience) stores,2010,498006
"Beer, wine, and liquor stores",2010,41401
Health and personal care stores,2010,260435
Pharmacies and drug stores,2010,222230
