salesdate,kind,sales,Adjusted
5-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,257038,N
6-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,248938,N
7-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,249432,N
8-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,250230,N
9-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,238175,N
10-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,248719,N
11-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,254997,N
12-1-2009,Retail sales and food services excl motor vehicle and parts and gasoline stations,309180,N
1-1-2009,"Retail sales, total",273998,N
2-1-2009,"Retail sales, total",264465,N
3-1-2009,"Retail sales, total",290068,N
4-1-2009,"Retail sales, total",292041,N
5-1-2009,"Retail sales, total",307481,N
6-1-2009,"Retail sales, total",306050,N
7-1-2009,"Retail sales, total",308847,N
8-1-2009,"Retail sales, total",314505,N
9-1-2009,"Retail sales, total",288071,N
10-1-2009,"Retail sales, total",300360,N
11-1-2009,"Retail sales, total",303850,N
12-1-2009,"Retail sales, total",362735,N
1-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",223905,N
2-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",214459,N
3-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",232935,N
4-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",236102,N
5-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",249749,N
6-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",246528,N
7-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",246547,N
8-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",248323,N
9-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",235948,N
10-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",245494,N
11-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",253826,N
12-1-2009,"Retail sales, total (excl. motor vehicle and parts dealers)",306883,N
1-1-2009,GAFO(1),81348,N
2-1-2009,GAFO(1),80415,N
3-1-2009,GAFO(1),84735,N
4-1-2009,GAFO(1),84743,N
5-1-2009,GAFO(1),90415,N
6-1-2009,GAFO(1),85806,N
7-1-2009,GAFO(1),86616,N
8-1-2009,GAFO(1),92055,N
9-1-2009,GAFO(1),83173,N
10-1-2009,GAFO(1),88123,N
11-1-2009,GAFO(1),97840,N
12-1-2009,GAFO(1),132928,N
1-1-2008,"Retail and food services sales, total",342639,N
2-1-2008,"Retail and food services sales, total",343893,N
3-1-2008,"Retail and food services sales, total",372907,N
4-1-2008,"Retail and food services sales, total",368920,N
5-1-2008,"Retail and food services sales, total",397956,N
6-1-2008,"Retail and food services sales, total",378507,N
7-1-2008,"Retail and food services sales, total",383726,N
8-1-2008,"Retail and food services sales, total",382862,N
9-1-2008,"Retail and food services sales, total",350542,N
10-1-2008,"Retail and food services sales, total",349847,N
11-1-2008,"Retail and food services sales, total",335545,N
12-1-2008,"Retail and food services sales, total",384236,N
1-1-2008,Retail sales and food services excl motor vehicle and parts,276796,N
2-1-2008,Retail sales and food services excl motor vehicle and parts,274863,N
3-1-2008,Retail sales and food services excl motor vehicle and parts,296293,N
4-1-2008,Retail sales and food services excl motor vehicle and parts,295184,N
5-1-2008,Retail sales and food services excl motor vehicle and parts,321829,N
6-1-2008,Retail sales and food services excl motor vehicle and parts,309079,N
7-1-2008,Retail sales and food services excl motor vehicle and parts,314049,N
8-1-2008,Retail sales and food services excl motor vehicle and parts,313186,N
9-1-2008,Retail sales and food services excl motor vehicle and parts,290053,N
10-1-2008,Retail sales and food services excl motor vehicle and parts,294821,N
11-1-2008,Retail sales and food services excl motor vehicle and parts,287679,N
12-1-2008,Retail sales and food services excl motor vehicle and parts,331883,N
1-1-2008,Retail sales and food services excl gasoline stations,303949,N
2-1-2008,Retail sales and food services excl gasoline stations,306277,N
3-1-2008,Retail sales and food services excl gasoline stations,330681,N
4-1-2008,Retail sales and food services excl gasoline stations,325257,N
5-1-2008,Retail sales and food services excl gasoline stations,349444,N
6-1-2008,Retail sales and food services excl gasoline stations,328422,N
7-1-2008,Retail sales and food services excl gasoline stations,331998,N
8-1-2008,Retail sales and food services excl gasoline stations,333794,N
9-1-2008,Retail sales and food services excl gasoline stations,305360,N
10-1-2008,Retail sales and food services excl gasoline stations,309222,N
11-1-2008,Retail sales and food services excl gasoline stations,305676,N
12-1-2008,Retail sales and food services excl gasoline stations,357861,N
1-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,238106,N
2-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,237247,N
3-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,254067,N
4-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,251521,N
5-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,273317,N
6-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,258994,N
7-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,262321,N
8-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,264118,N
9-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,244871,N
10-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,254196,N
11-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,257810,N
12-1-2008,Retail sales and food services excl motor vehicle and parts and gasoline stations,305508,N
1-1-2008,"Retail sales, total",307576,N
2-1-2008,"Retail sales, total",308171,N
3-1-2008,"Retail sales, total",334416,N
4-1-2008,"Retail sales, total",331002,N
5-1-2008,"Retail sales, total",357277,N
6-1-2008,"Retail sales, total",339791,N
7-1-2008,"Retail sales, total",344158,N
8-1-2008,"Retail sales, total",342443,N
9-1-2008,"Retail sales, total",313308,N
10-1-2008,"Retail sales, total",311422,N
11-1-2008,"Retail sales, total",299238,N
12-1-2008,"Retail sales, total",346513,N
1-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",241733,N
2-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",239141,N
3-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",257802,N
4-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",257266,N
5-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",281150,N
6-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",270363,N
7-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",274481,N
8-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",272767,N
9-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",252819,N
10-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",256396,N
11-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",251372,N
12-1-2008,"Retail sales, total (excl. motor vehicle and parts dealers)",294160,N
1-1-2008,GAFO(1),82944,N
2-1-2008,GAFO(1),85539,N
3-1-2008,GAFO(1),91761,N
4-1-2008,GAFO(1),87462,N
5-1-2008,GAFO(1),97590,N
6-1-2008,GAFO(1),92346,N
7-1-2008,GAFO(1),92496,N
8-1-2008,GAFO(1),98336,N
9-1-2008,GAFO(1),84961,N
10-1-2008,GAFO(1),88650,N
11-1-2008,GAFO(1),101013,N
12-1-2008,GAFO(1),133278,N
1-1-2007,"Retail and food services sales, total",328877,N
2-1-2007,"Retail and food services sales, total",323162,N
3-1-2007,"Retail and food services sales, total",374142,N
4-1-2007,"Retail and food services sales, total",358535,N
5-1-2007,"Retail and food services sales, total",391512,N
6-1-2007,"Retail and food services sales, total",376639,N
7-1-2007,"Retail and food services sales, total",372354,N
8-1-2007,"Retail and food services sales, total",388016,N
9-1-2007,"Retail and food services sales, total",353936,N
10-1-2007,"Retail and food services sales, total",368681,N
11-1-2007,"Retail and food services sales, total",377802,N
12-1-2007,"Retail and food services sales, total",426077,N
1-1-2007,Retail sales and food services excl motor vehicle and parts,262292,N
2-1-2007,Retail sales and food services excl motor vehicle and parts,253789,N
3-1-2007,Retail sales and food services excl motor vehicle and parts,290309,N
4-1-2007,Retail sales and food services excl motor vehicle and parts,281270,N
5-1-2007,Retail sales and food services excl motor vehicle and parts,306329,N
6-1-2007,Retail sales and food services excl motor vehicle and parts,296815,N
7-1-2007,Retail sales and food services excl motor vehicle and parts,293257,N
8-1-2007,Retail sales and food services excl motor vehicle and parts,303383,N
9-1-2007,Retail sales and food services excl motor vehicle and parts,280466,N
10-1-2007,Retail sales and food services excl motor vehicle and parts,294220,N
11-1-2007,Retail sales and food services excl motor vehicle and parts,310458,N
12-1-2007,Retail sales and food services excl motor vehicle and parts,357006,N
1-1-2007,Retail sales and food services excl gasoline stations,297955,N
2-1-2007,Retail sales and food services excl gasoline stations,293400,N
3-1-2007,Retail sales and food services excl gasoline stations,338539,N
4-1-2007,Retail sales and food services excl gasoline stations,321858,N
5-1-2007,Retail sales and food services excl gasoline stations,350134,N
6-1-2007,Retail sales and food services excl gasoline stations,336158,N
7-1-2007,Retail sales and food services excl gasoline stations,331658,N
8-1-2007,Retail sales and food services excl gasoline stations,347629,N
9-1-2007,Retail sales and food services excl gasoline stations,316261,N
10-1-2007,Retail sales and food services excl gasoline stations,329256,N
11-1-2007,Retail sales and food services excl gasoline stations,338000,N
12-1-2007,Retail sales and food services excl gasoline stations,387063,N
1-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,231370,N
2-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,224027,N
3-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,254706,N
4-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,244593,N
5-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,264951,N
6-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,256334,N
7-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,252561,N
8-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,262996,N
9-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,242791,N
10-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,254795,N
11-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,270656,N
12-1-2007,Retail sales and food services excl motor vehicle and parts and gasoline stations,317992,N
1-1-2007,"Retail sales, total",295284,N
2-1-2007,"Retail sales, total",290065,N
3-1-2007,"Retail sales, total",335917,N
4-1-2007,"Retail sales, total",321981,N
5-1-2007,"Retail sales, total",353201,N
6-1-2007,"Retail sales, total",338189,N
7-1-2007,"Retail sales, total",333815,N
8-1-2007,"Retail sales, total",349191,N
9-1-2007,"Retail sales, total",317145,N
10-1-2007,"Retail sales, total",331073,N
11-1-2007,"Retail sales, total",341848,N
12-1-2007,"Retail sales, total",387473,N
1-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",228699,N
2-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",220692,N
3-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",252084,N
4-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",244716,N
5-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",268018,N
6-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",258365,N
7-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",254718,N
8-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",264558,N
9-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",243675,N
10-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",256612,N
11-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",274504,N
12-1-2007,"Retail sales, total (excl. motor vehicle and parts dealers)",318402,N
1-1-2007,GAFO(1),81867,N
2-1-2007,GAFO(1),80923,N
3-1-2007,GAFO(1),91885,N
4-1-2007,GAFO(1),86935,N
5-1-2007,GAFO(1),93516,N
6-1-2007,GAFO(1),91675,N
7-1-2007,GAFO(1),89929,N
8-1-2007,GAFO(1),97930,N
9-1-2007,GAFO(1),87545,N
10-1-2007,GAFO(1),90808,N
11-1-2007,GAFO(1),106767,N
12-1-2007,GAFO(1),143646,N
1-1-2006,"Retail and food services sales, total",318546,N
2-1-2006,"Retail and food services sales, total",314051,N
3-1-2006,"Retail and food services sales, total",361993,N
4-1-2006,"Retail and food services sales, total",351667,N
5-1-2006,"Retail and food services sales, total",373560,N
6-1-2006,"Retail and food services sales, total",366615,N
7-1-2006,"Retail and food services sales, total",362203,N
8-1-2006,"Retail and food services sales, total",375795,N
9-1-2006,"Retail and food services sales, total",346214,N
10-1-2006,"Retail and food services sales, total",348796,N
11-1-2006,"Retail and food services sales, total",356928,N
12-1-2006,"Retail and food services sales, total",417991,N
1-1-2006,Retail sales and food services excl motor vehicle and parts,252809,N
2-1-2006,Retail sales and food services excl motor vehicle and parts,246599,N
3-1-2006,Retail sales and food services excl motor vehicle and parts,279239,N
4-1-2006,Retail sales and food services excl motor vehicle and parts,275487,N
5-1-2006,Retail sales and food services excl motor vehicle and parts,292043,N
6-1-2006,Retail sales and food services excl motor vehicle and parts,286016,N
7-1-2006,Retail sales and food services excl motor vehicle and parts,281314,N
8-1-2006,Retail sales and food services excl motor vehicle and parts,292798,N
9-1-2006,Retail sales and food services excl motor vehicle and parts,273214,N
10-1-2006,Retail sales and food services excl motor vehicle and parts,278431,N
11-1-2006,Retail sales and food services excl motor vehicle and parts,289416,N
12-1-2006,Retail sales and food services excl motor vehicle and parts,346996,N
1-1-2006,Retail sales and food services excl gasoline stations,287746,N
2-1-2006,Retail sales and food services excl gasoline stations,284798,N
3-1-2006,Retail sales and food services excl gasoline stations,328106,N
4-1-2006,Retail sales and food services excl gasoline stations,315665,N
5-1-2006,Retail sales and food services excl gasoline stations,334544,N
6-1-2006,Retail sales and food services excl gasoline stations,327489,N
7-1-2006,Retail sales and food services excl gasoline stations,321618,N
8-1-2006,Retail sales and food services excl gasoline stations,334744,N
9-1-2006,Retail sales and food services excl gasoline stations,311384,N
10-1-2006,Retail sales and food services excl gasoline stations,315588,N
11-1-2006,Retail sales and food services excl gasoline stations,325372,N
12-1-2006,Retail sales and food services excl gasoline stations,385329,N
1-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,222009,N
2-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,217346,N
3-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,245352,N
4-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,239485,N
5-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,253027,N
6-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,246890,N
7-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,240729,N
8-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,251747,N
9-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,238384,N
10-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,245223,N
11-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,257860,N
12-1-2006,Retail sales and food services excl motor vehicle and parts and gasoline stations,314334,N
1-1-2006,"Retail sales, total",286152,N
2-1-2006,"Retail sales, total",282417,N
3-1-2006,"Retail sales, total",326153,N
4-1-2006,"Retail sales, total",316526,N
5-1-2006,"Retail sales, total",337393,N
6-1-2006,"Retail sales, total",330844,N
7-1-2006,"Retail sales, total",325905,N
8-1-2006,"Retail sales, total",339155,N
9-1-2006,"Retail sales, total",310775,N
10-1-2006,"Retail sales, total",312976,N
11-1-2006,"Retail sales, total",323089,N
12-1-2006,"Retail sales, total",380188,N
1-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",220415,N
2-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",214965,N
3-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",243399,N
4-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",240346,N
5-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",255876,N
6-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",250245,N
7-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",245016,N
8-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",256158,N
9-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",237775,N
10-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",242611,N
11-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",255577,N
12-1-2006,"Retail sales, total (excl. motor vehicle and parts dealers)",309193,N
1-1-2006,GAFO(1),78420,N
2-1-2006,GAFO(1),79008,N
3-1-2006,GAFO(1),86862,N
4-1-2006,GAFO(1),85932,N
5-1-2006,GAFO(1),89166,N
6-1-2006,GAFO(1),88412,N
7-1-2006,GAFO(1),86913,N
8-1-2006,GAFO(1),92998,N
9-1-2006,GAFO(1),87134,N
10-1-2006,GAFO(1),88479,N
11-1-2006,GAFO(1),102281,N
12-1-2006,GAFO(1),144550,N
1-1-2005,"Retail and food services sales, total",293261,N
2-1-2005,"Retail and food services sales, total",295062,N
3-1-2005,"Retail and food services sales, total",339141,N
4-1-2005,"Retail and food services sales, total",335632,N
5-1-2005,"Retail and food services sales, total",345348,N
6-1-2005,"Retail and food services sales, total",350945,N
7-1-2005,"Retail and food services sales, total",351827,N
8-1-2005,"Retail and food services sales, total",355701,N
9-1-2005,"Retail and food services sales, total",333289,N
10-1-2005,"Retail and food services sales, total",336134,N
11-1-2005,"Retail and food services sales, total",343798,N
12-1-2005,"Retail and food services sales, total",405608,N
1-1-2005,Retail sales and food services excl motor vehicle and parts,231325,N
2-1-2005,Retail sales and food services excl motor vehicle and parts,228117,N
3-1-2005,Retail sales and food services excl motor vehicle and parts,258532,N
4-1-2005,Retail sales and food services excl motor vehicle and parts,257963,N
5-1-2005,Retail sales and food services excl motor vehicle and parts,267021,N
6-1-2005,Retail sales and food services excl motor vehicle and parts,265567,N
7-1-2005,Retail sales and food services excl motor vehicle and parts,264117,N
8-1-2005,Retail sales and food services excl motor vehicle and parts,274481,N
9-1-2005,Retail sales and food services excl motor vehicle and parts,263877,N
10-1-2005,Retail sales and food services excl motor vehicle and parts,272540,N
11-1-2005,Retail sales and food services excl motor vehicle and parts,278953,N
12-1-2005,Retail sales and food services excl motor vehicle and parts,334946,N
1-1-2005,Retail sales and food services excl gasoline stations,267695,N
2-1-2005,Retail sales and food services excl gasoline stations,270080,N
3-1-2005,Retail sales and food services excl gasoline stations,309761,N
4-1-2005,Retail sales and food services excl gasoline stations,305083,N
5-1-2005,Retail sales and food services excl gasoline stations,314197,N
6-1-2005,Retail sales and food services excl gasoline stations,319083,N
7-1-2005,Retail sales and food services excl gasoline stations,317939,N
8-1-2005,Retail sales and food services excl gasoline stations,319497,N
9-1-2005,Retail sales and food services excl gasoline stations,297029,N
10-1-2005,Retail sales and food services excl gasoline stations,299577,N
11-1-2005,Retail sales and food services excl gasoline stations,312538,N
12-1-2005,Retail sales and food services excl gasoline stations,374344,N
1-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,205759,N
2-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,203135,N
3-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,229152,N
4-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,227414,N
5-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,235870,N
6-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,233705,N
7-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,230229,N
8-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,238277,N
9-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,227617,N
10-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,235983,N
11-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,247693,N
12-1-2005,Retail sales and food services excl motor vehicle and parts and gasoline stations,303682,N
1-1-2005,"Retail sales, total",263469,N
2-1-2005,"Retail sales, total",265320,N
3-1-2005,"Retail sales, total",306384,N
4-1-2005,"Retail sales, total",302054,N
5-1-2005,"Retail sales, total",311292,N
6-1-2005,"Retail sales, total",317375,N
7-1-2005,"Retail sales, total",316887,N
8-1-2005,"Retail sales, total",321409,N
9-1-2005,"Retail sales, total",300439,N
10-1-2005,"Retail sales, total",302213,N
11-1-2005,"Retail sales, total",311715,N
12-1-2005,"Retail sales, total",370726,N
1-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",201533,N
2-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",198375,N
3-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",225775,N
4-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",224385,N
5-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",232965,N
6-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",231997,N
7-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",229177,N
8-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",240189,N
9-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",231027,N
10-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",238619,N
11-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",246870,N
12-1-2005,"Retail sales, total (excl. motor vehicle and parts dealers)",300064,N
1-1-2005,GAFO(1),72963,N
2-1-2005,GAFO(1),74808,N
3-1-2005,GAFO(1),82664,N
4-1-2005,GAFO(1),81063,N
5-1-2005,GAFO(1),84175,N
6-1-2005,GAFO(1),84379,N
7-1-2005,GAFO(1),83562,N
8-1-2005,GAFO(1),88789,N
9-1-2005,GAFO(1),81830,N
10-1-2005,GAFO(1),86755,N
11-1-2005,GAFO(1),98658,N
12-1-2005,GAFO(1),139953,N
1-1-2004,"Retail and food services sales, total",281460,N
2-1-2004,"Retail and food services sales, total",282444,N
3-1-2004,"Retail and food services sales, total",319077,N
4-1-2004,"Retail and food services sales, total",315191,N
5-1-2004,"Retail and food services sales, total",328408,N
6-1-2004,"Retail and food services sales, total",321044,N
7-1-2004,"Retail and food services sales, total",328000,N
8-1-2004,"Retail and food services sales, total",326317,N
9-1-2004,"Retail and food services sales, total",313524,N
10-1-2004,"Retail and food services sales, total",319726,N
11-1-2004,"Retail and food services sales, total",324259,N
12-1-2004,"Retail and food services sales, total",387155,N
1-1-2004,Retail sales and food services excl motor vehicle and parts,220314,N
2-1-2004,Retail sales and food services excl motor vehicle and parts,217214,N
3-1-2004,Retail sales and food services excl motor vehicle and parts,240415,N
4-1-2004,Retail sales and food services excl motor vehicle and parts,241939,N
5-1-2004,Retail sales and food services excl motor vehicle and parts,250917,N
6-1-2004,Retail sales and food services excl motor vehicle and parts,245689,N
7-1-2004,Retail sales and food services excl motor vehicle and parts,249163,N
8-1-2004,Retail sales and food services excl motor vehicle and parts,249940,N
9-1-2004,Retail sales and food services excl motor vehicle and parts,239944,N
10-1-2004,Retail sales and food services excl motor vehicle and parts,250981,N
11-1-2004,Retail sales and food services excl motor vehicle and parts,259038,N
12-1-2004,Retail sales and food services excl motor vehicle and parts,314679,N
1-1-2004,Retail sales and food services excl gasoline stations,258687,N
2-1-2004,Retail sales and food services excl gasoline stations,259890,N
3-1-2004,Retail sales and food services excl gasoline stations,293475,N
4-1-2004,Retail sales and food services excl gasoline stations,288984,N
5-1-2004,Retail sales and food services excl gasoline stations,299830,N
6-1-2004,Retail sales and food services excl gasoline stations,292641,N
7-1-2004,Retail sales and food services excl gasoline stations,298714,N
8-1-2004,Retail sales and food services excl gasoline stations,297588,N
9-1-2004,Retail sales and food services excl gasoline stations,286173,N
10-1-2004,Retail sales and food services excl gasoline stations,290182,N
11-1-2004,Retail sales and food services excl gasoline stations,296583,N
12-1-2004,Retail sales and food services excl gasoline stations,359852,N
1-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,197541,N
2-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,194660,N
3-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,214813,N
4-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,215732,N
5-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,222339,N
6-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,217286,N
7-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,219877,N
8-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,221211,N
9-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,212593,N
10-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,221437,N
11-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,231362,N
12-1-2004,Retail sales and food services excl motor vehicle and parts and gasoline stations,287376,N
1-1-2004,"Retail sales, total",252818,N
2-1-2004,"Retail sales, total",253689,N
3-1-2004,"Retail sales, total",287944,N
4-1-2004,"Retail sales, total",284325,N
5-1-2004,"Retail sales, total",296253,N
6-1-2004,"Retail sales, total",289664,N
7-1-2004,"Retail sales, total",294875,N
8-1-2004,"Retail sales, total",294133,N
9-1-2004,"Retail sales, total",282974,N
10-1-2004,"Retail sales, total",287468,N
11-1-2004,"Retail sales, total",294278,N
12-1-2004,"Retail sales, total",354627,N
1-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",191672,N
2-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",188459,N
3-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",209282,N
4-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",211073,N
5-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",218762,N
6-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",214309,N
7-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",216038,N
8-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",217756,N
9-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",209394,N
10-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",218723,N
11-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",229057,N
12-1-2004,"Retail sales, total (excl. motor vehicle and parts dealers)",282151,N
1-1-2004,GAFO(1),70448,N
2-1-2004,GAFO(1),72295,N
3-1-2004,GAFO(1),77591,N
4-1-2004,GAFO(1),77093,N
5-1-2004,GAFO(1),80595,N
6-1-2004,GAFO(1),77927,N
7-1-2004,GAFO(1),79732,N
8-1-2004,GAFO(1),83081,N
9-1-2004,GAFO(1),76941,N
10-1-2004,GAFO(1),81807,N
11-1-2004,GAFO(1),92634,N
12-1-2004,GAFO(1),133747,N
1-1-2003,"Retail and food services sales, total",268328,N
2-1-2003,"Retail and food services sales, total",259051,N
3-1-2003,"Retail and food services sales, total",293693,N
4-1-2003,"Retail and food services sales, total",294251,N
5-1-2003,"Retail and food services sales, total",312389,N
6-1-2003,"Retail and food services sales, total",300998,N
7-1-2003,"Retail and food services sales, total",309923,N
8-1-2003,"Retail and food services sales, total",317056,N
9-1-2003,"Retail and food services sales, total",293890,N
10-1-2003,"Retail and food services sales, total",304036,N
11-1-2003,"Retail and food services sales, total",301265,N
12-1-2003,"Retail and food services sales, total",357577,N
1-1-2003,Retail sales and food services excl motor vehicle and parts,206194,N
2-1-2003,Retail sales and food services excl motor vehicle and parts,198030,N
3-1-2003,Retail sales and food services excl motor vehicle and parts,221829,N
4-1-2003,Retail sales and food services excl motor vehicle and parts,221855,N
5-1-2003,Retail sales and food services excl motor vehicle and parts,235659,N
6-1-2003,Retail sales and food services excl motor vehicle and parts,226376,N
7-1-2003,Retail sales and food services excl motor vehicle and parts,231445,N
8-1-2003,Retail sales and food services excl motor vehicle and parts,239394,N
9-1-2003,Retail sales and food services excl motor vehicle and parts,223768,N
10-1-2003,Retail sales and food services excl motor vehicle and parts,235903,N
