salesdate,kind,sales,Adjusted
9-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",321206,N
10-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",342845,N
11-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",364089,N
12-1-2018,"Retail sales, total (excl. motor vehicle and parts dealers)",392478,N
1-1-2018,GAFO(1),90650,N
2-1-2018,GAFO(1),92611,N
3-1-2018,GAFO(1),108401,N
4-1-2018,GAFO(1),98990,N
5-1-2018,GAFO(1),110609,N
6-1-2018,GAFO(1),106035,N
7-1-2018,GAFO(1),105372,N
8-1-2018,GAFO(1),111811,N
9-1-2018,GAFO(1),100372,N
10-1-2018,GAFO(1),105419,N
11-1-2018,GAFO(1),121812,N
12-1-2018,GAFO(1),146442,N
1-1-2017,"Retail and food services sales, total",421943,N
2-1-2017,"Retail and food services sales, total",418315,N
3-1-2017,"Retail and food services sales, total",483082,N
4-1-2017,"Retail and food services sales, total",465788,N
5-1-2017,"Retail and food services sales, total",494621,N
6-1-2017,"Retail and food services sales, total",481729,N
7-1-2017,"Retail and food services sales, total",475374,N
8-1-2017,"Retail and food services sales, total",490324,N
9-1-2017,"Retail and food services sales, total",469710,N
10-1-2017,"Retail and food services sales, total",476014,N
11-1-2017,"Retail and food services sales, total",497748,N
12-1-2017,"Retail and food services sales, total",558215,N
1-1-2017,Retail sales and food services excl motor vehicle and parts,336756,N
2-1-2017,Retail sales and food services excl motor vehicle and parts,328901,N
3-1-2017,Retail sales and food services excl motor vehicle and parts,376796,N
4-1-2017,Retail sales and food services excl motor vehicle and parts,368476,N
5-1-2017,Retail sales and food services excl motor vehicle and parts,388989,N
6-1-2017,Retail sales and food services excl motor vehicle and parts,379136,N
7-1-2017,Retail sales and food services excl motor vehicle and parts,373146,N
8-1-2017,Retail sales and food services excl motor vehicle and parts,385526,N
9-1-2017,Retail sales and food services excl motor vehicle and parts,369739,N
10-1-2017,Retail sales and food services excl motor vehicle and parts,378618,N
11-1-2017,Retail sales and food services excl motor vehicle and parts,402994,N
12-1-2017,Retail sales and food services excl motor vehicle and parts,458090,N
1-1-2017,Retail sales and food services excl gasoline stations,386019,N
2-1-2017,Retail sales and food services excl gasoline stations,384105,N
3-1-2017,Retail sales and food services excl gasoline stations,443979,N
4-1-2017,Retail sales and food services excl gasoline stations,426328,N
5-1-2017,Retail sales and food services excl gasoline stations,453329,N
6-1-2017,Retail sales and food services excl gasoline stations,441236,N
7-1-2017,Retail sales and food services excl gasoline stations,435163,N
8-1-2017,Retail sales and food services excl gasoline stations,448690,N
9-1-2017,Retail sales and food services excl gasoline stations,428033,N
10-1-2017,Retail sales and food services excl gasoline stations,434050,N
11-1-2017,Retail sales and food services excl gasoline stations,457507,N
12-1-2017,Retail sales and food services excl gasoline stations,518272,N
1-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,300832,N
2-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,294691,N
3-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,337693,N
4-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,329016,N
5-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,347697,N
6-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,338643,N
7-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,332935,N
8-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,343892,N
9-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,328062,N
10-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,336654,N
11-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,362753,N
12-1-2017,Retail sales and food services excl motor vehicle and parts and gasoline stations,418147,N
1-1-2017,"Retail sales, total",368960,N
2-1-2017,"Retail sales, total",365480,N
3-1-2017,"Retail sales, total",422891,N
4-1-2017,"Retail sales, total",407165,N
5-1-2017,"Retail sales, total",434450,N
6-1-2017,"Retail sales, total",423034,N
7-1-2017,"Retail sales, total",416900,N
8-1-2017,"Retail sales, total",431822,N
9-1-2017,"Retail sales, total",412578,N
10-1-2017,"Retail sales, total",417830,N
11-1-2017,"Retail sales, total",442077,N
12-1-2017,"Retail sales, total",497027,N
1-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",283773,N
2-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",276066,N
3-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",316605,N
